"sku","fnsku","asin","product-name","condition","beginning-quantity","ending-quantity","received","returned","found","sold","removed","lost","disposed","other","discrepant-quantity"
"VY-US1N-99LM","X001A9R0R9","B086LXN856","Usha Bloom Primrose 1250 mm 3 Blade Ceiling Fan (Sparkle Golden, Cherry, Pack of 2)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"YJ-VK2R-ANSX","X001A9RCLD","B086LWXGT6","Usha Bloom Primrose 1250 mm 3 Blade Ceiling Fan (Sparkle Golden and Brown, Pack of 1)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"amzn1.fba.v1.u5AhvvF8bblgi-Qdu7eZ_SBdpnQ","X001A9WHYF","B01MFA2KUW","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","UsedAcceptable","0","0","0","0","0","0","-1","0","0","1","0"
"amzn1.fba.v1.0FIILWHxsE3ti8_vT3cwPOxe-eo","X001AADDLP","B078L89W8H","Panasonic SR-WA10 2.7 L Rice Cooker, Red","UsedGood","1","0","0","0","0","0","-1","0","0","0","0"
"FBA15DC8NNBH.missing","X001AAHDCP","B07GTLJ4TX","Bajaj Calenta Mechanical Storage 25 Litre Vertical Water Heater (White/Brown)","NewItem","1","0","0","0","0","-1","0","0","0","0","0"
"amzn1.fba.v1.M9aDPXZ3kB1dUTH2o9QFPWFUMU4","X001AANUK9","B078JT7LTD","Sujata Dynamix, Mixer Grinder, 900 Watts, 3 Jars (White)","UsedGood","1","0","0","0","0","0","-1","0","0","0","0"
"EI-OQUT-L602","X001AASZEF","B089MS6RJD","Samsung Galaxy M01s (Grey, 3GB RAM, 32GB Storage) Without Offer","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"BP-TKN7-2JG7","X001AB28K1","B01MTJ3DBF","Pigeon 12 Pits Paniyarakkal - Black","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"30-RAP3-M3UE","X001AB2ABX","B0867PWNJ3","Pigeon Vita 4 PC Induction Base Non Stick Cookware Set","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"J2-JA6F-03C5","X001AB3J5J","B078YV6358","Pigeon Blackline Smart 3 Burner Glass top Gas Stove","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"I3-V0ZQ-AWWG","X001AB3JEP","B08CZX6KSM","Pigeon Ayush 3 Burner High Powered Brass Burner Gas Stove, Cooktop with Glass Top and Stainless Steel Body (Black)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"RI-KZIT-VXZ5","X001AB4Y0N","B06XVF77QF","Pigeon 1.5 Meters Steel Wire Reinforced LPG Hose with Gas Lighter Orange (Combo)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"DF-R2Q4-E0IM","X001AB8VSJ","B07XG2PKW3","Samsung Galaxy A71 (Blue, 8GB RAM, 128GB Storage) Without Offer","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"amzn1.fba.v1.boixTixGPugc52QdRgkepQDT0OE","X001ABB11N","B071RD4HV8","Nutri-Blend, 22000 RPM Mixer-Grinder, Blender, SS Blades, 3 Unbreakable Jars, 2 Years Warranty, 400 W-Purple, Includes Exclusive Recipe Book By Chef Sanjeev Kapoor","UsedPoor","0","0","0","0","0","0","0","0","0","0","0"
"CF-VAEJ-AJAU","X001ABBANH","B085TT7MGK","Prestige Svachh, 20246, 5 L, Nakshatra Alpha Straight Wall, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"SS-Y4E6-9DL7","X001ABBBNV","B0862HN9CL","Prestige Svachh, 10729, 2 L, Straight Wall Aluminium Pressure Cooker, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"92-VZ6J-O8XT","X001ABBCNF","B08DDD778F","Prestige Nakshatra Cute Svachh Aluminium Pressure, 2.0L (Polished)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"NN-DHQ0-VVPB","X001ABBCUN","B085TSWXK2","Prestige Svachh, 20257, 3.5 L, Nakshatra Alpha Svachh Handi, with deep lid for Spillage Control","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"X7-5F97-1LHS","X001ABBCYT","B08DDD3QYB","Prestige Nakshatra Cute Svachh Aluminium Pressure Cooker, 5.0L (Polished)","NewItem","0","0","0","0","0","0","0","0","0","0","0"
"BY-BUN2-MY5V","X001ABBDKH","B08D6ZDFYM","Prestige Svachh Lite Stainless Steel Pressure Cooker, with Stain Less Steel Starch Filter, 4 LTR","NewItem","0","0","0","0","0","0","0","0","0","0","0"
