"Product Name","Merchant SKU","Asin","Condition (New/Old)","Supplier Name (unassigned, if no supplier information provided by you)","Recommended Fulfilment Center (FC Code)","Sales contribution for the zone in INR (Sales in last 30 days)","Number of units sold from the zone ( in last 30 days)  ","Days of supply remaining for the zone ( In days)","No. of Units instock in the zone ( in units)","Low in Stock/ Out of Stock Alert","Original Recommended quantity(in Units)","Original Weeks cover recommended (in weeks)","Final Recommended quantity ( adjusted to available capacity at FC in Units)","Final Weeks cover recommended (adjusted to available capacity at FC in weeks)","Order to supplier date (DD/MM/YYYY )","Ship to FC date (DD/MM/YYYY)","Zone Name","Alternate Fulfillment Center(s) to inbound","Past Recommendations accuracy % (Average in %)"
"Panasonic SR-WA18-E 4.4-Litre Automatic Rice Cooker (White)","M8-XSJW-VFH4","B01GE4XLOW","New","unassigned","BLR4","1431.36","1","12","6","","7","4","7","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Panasonic Single Line 2.4 KX-TG3411SX Digital Cordless Phone (Black)","QS-PMP0-XC2E","B008LNBK3E","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","7","4","7","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Xclusive Stainless Steel PRM 5.0 Roti Maker with Demo CD (Silver)","83-1J4O-0Q65","B07KQF52X3","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Xclusive Stainless Steel PRM 5.0 Roti Maker with Demo CD (Silver)","83-1J4O-0Q65","B07KQF52X3","New","unassigned","BOM7","33590.7","13","1","0","out_of_stock","6","4","6","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","90-FKLX-2TKA","B00EICJA0M","New","unassigned","BLR4","6535.72","4","0","0","out_of_stock","6","4","6","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Philips HL7756/00 Mixer Grinder, 750W, 3 Jars (Black)","B2-6OFX-W8AD","B01GZSQJPA","New","unassigned","BOM7","13783.92","6","0","0","out_of_stock","6","4","6","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","100.0"
"Prestige PKPW 1.0 900-Watt Electric Kettle","ET-HU35-65DT","B00935MEPM","New","unassigned","BLR4","4474.56","6","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Panasonic Single Line KX-TS500MX Corded Phone (White)","FE-N2HD-6OFX","B009L03NQS","New","unassigned","BOM7","24879.77","37","0","0","out_of_stock","6","4","6","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","GV-JU04-H6W3","B0835JYNY4","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","91.4"
"Samsung Galaxy S20 FE (Cloud Mint, 8GB RAM, 128GB Storage) Without Offer","HU-MVQW-FBRW","B086KF4FZF","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","6","4","6","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
