"Product Name","Merchant SKU","Asin","Condition (New/Old)","Supplier Name (unassigned, if no supplier information provided by you)","Recommended Fulfilment Center (FC Code)","Sales contribution for the zone in INR (Sales in last 30 days)","Number of units sold from the zone ( in last 30 days)  ","Days of supply remaining for the zone ( In days)","No. of Units instock in the zone ( in units)","Low in Stock/ Out of Stock Alert","Original Recommended quantity(in Units)","Original Weeks cover recommended (in weeks)","Final Recommended quantity ( adjusted to available capacity at FC in Units)","Final Weeks cover recommended (adjusted to available capacity at FC in weeks)","Order to supplier date (DD/MM/YYYY )","Ship to FC date (DD/MM/YYYY)","Zone Name","Alternate Fulfillment Center(s) to inbound","Past Recommendations accuracy % (Average in %)"
"Eureka Forbes Aquasure from Aquaguard Amrit 20-Litre Water Purifier, Blue","SJ-GWP8-BXCW","B008QE1OIO","New","unassigned","BLR4","1956.78","1","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","71.4"
"Eureka Forbes Aquasure from Aquaguard Amrit 20-Litre Water Purifier, Blue","SJ-GWP8-BXCW","B008QE1OIO","New","unassigned","BOM7","24173.77","15","9","2","","2","4","2","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","71.4"
"Panasonic SR-Y18FHS 660-Watt Automatic Electric Cooker 4.4 Litre with Non Stick Cooking Pan and Steamer, Metallic Silver/Burgundy","SR-Y18FHS(E)","B00A328CNM","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","77.8"
"AO Smith HAS-X1-015 Storage 15 Litre Horizontal Water Heater (Geyser) White - 4 Star","TD-D7JE-I6P1","B0152X4708","New","unassigned","BLR4","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","TN-Y34P-OK99","B00K57MR22","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","TN-Y34P-OK99","B00K57MR22","New","unassigned","BLR4","4938.98","1","8","1","","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Realme 6i (Lunar White, 64 GB) (6 GB RAM)","V1-M37P-62FJ","B08G8V8VCJ","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Realme 6i (Lunar White, 64 GB) (6 GB RAM)","V1-M37P-62FJ","B08G8V8VCJ","New","unassigned","BLR4","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","VB-NNGL-XOL3","B00A7PK0Z8","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Maharaja Whiteline Jmg Odacio Plus 450-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","X7-GWBX-T2Y7","B07NDY84LK","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Red)","YA-GM4H-SA9L","B071D5FYFQ","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Red)","YA-GM4H-SA9L","B071D5FYFQ","New","unassigned","BLR4","9290.68","4","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"(Renewed) Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr)","amzn1.fba.v1.anpLCv0Ss2swoKIAdO29q-4MY3c","B07M5N7SYM","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","2","4","2","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige PEC 3.0 250-Watt Electric Chopper (White)","04-IHMQ-0QI4","B07842187G","New","unassigned","BLR4","5322.02","5","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"(Renewed) Eureka Forbes Wet and Dry Ultimo 20-Litre 1400 Watt Muilt Function Vacuum Cleaner (Red and Steel)","0M-HM3W-I6CZ","B08RC1QGGF","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"(Renewed) Eureka Forbes Wet and Dry Ultimo 20-Litre 1400 Watt Muilt Function Vacuum Cleaner (Red and Steel)","0M-HM3W-I6CZ","B08RC1QGGF","New","unassigned","BLR4","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"(Renewed) NOKIA 105 SS (BLACK)","2S-AN4F-XC8P","B07DS6TPCF","New","unassigned","BOM7","4233.05","5","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Bajaj Food Factory FX 11 600-Watt Food Processor (White)","51-VTL9-C956","B009P2L0N0","New","unassigned","BLR4","5758.47","1","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Wonderchef Electric Dosa Maker Double-Sided","60-PLRW-8I5Z","B07V6BYJDT","New","unassigned","BOM7","6762.72","4","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","71.4"
"Samsung Galaxy S20 FE (Cloud Red, 8GB RAM, 128GB Storage) Without Offer","7J-OWNE-FOFL","B086KCCMDN","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"(Renewed) Eureka Forbes Steel and Plastic Wet and Dry Bold 20 L 1400 Watts Multi Function Vacuum Cleaner (Blue, Standard)","81-HY05-NOD6","B08R8ZQRS1","New","unassigned","BOM7","27111.84","8","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige Deluxe Plus Mini Junior Induction Base Aluminium Pressure Handi, 3.3 Litres, Flame Red","8E-9IUQ-76FX","B00EICFCOK","New","unassigned","BOM7","3044.65","2","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","100.0"
"Nokia 105 (Black)","A9-6UMX-BRQF","B0745BNFYV","New","unassigned","BOM7","149702.28","148","7","2","low_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige Platina Induction Base Non-Stick Stainless Steel Fry Pan, 240mm, Silver","AD-MWWO-QCAB","B07BGD7DDM","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","94.7"
"Realme 6 (Comet Blue, 4GB RAM, 64GB Storage)","CQ-3U2Z-UESH","B085W5VN26","New","unassigned","BOM7","71313.54","6","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige PCJ 7.0 500-Watt Centrifugal Juicer","D0-NY73-KXPD","B00NW4VEHY","New","unassigned","BLR4","5660.17","2","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige Deluxe Plus Induction Base Aluminium Pressure Cooker, 10 Litres","FN-OQUR-N5VX","B00AYC5TC8","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige Deluxe Plus Induction Base Aluminium Pressure Cooker, 10 Litres","FN-OQUR-N5VX","B00AYC5TC8","New","unassigned","BOM7","11071.44","4","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige Edge Gas Table PEBS 02 - Black","FO-WGHK-PE1D","B07JRCV3W1","New","unassigned","BOM7","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Usha Cook Joy (3820) 2000-Watt Induction Cooktop with Touch(Black)","GD-TGBU-0X18","B07QZ7Q6TQ","New","unassigned","BLR4","2448.31","1","4","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Usha Cook Joy (3820) 2000-Watt Induction Cooktop with Touch(Black)","GD-TGBU-0X18","B07QZ7Q6TQ","New","unassigned","BOM7","88394.92","37","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans","HN-UM5H-DO68","B00935MD1C","New","unassigned","PNQ2","0.0","0","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","100.0"
"Prestige PRWO 1.8-2 700-Watts Delight Electric Rice Cooker with 2 Aluminium Cooking Pans","HN-UM5H-DO68","B00935MD1C","New","unassigned","BOM7","3296.62","2","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","100.0"
"Prestige PEC 3.0 250-Watt Electric Chopper (White)","HW-YLBG-8ISD","B07842187G","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Prestige PEC 3.0 250-Watt Electric Chopper (White)","HW-YLBG-8ISD","B07842187G","New","unassigned","BLR4","28813.5","25","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Prestige PEC 3.0 250-Watt Electric Chopper (White)","HW-YLBG-8ISD","B07842187G","New","unassigned","BOM7","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Usha Bandhan Straight Stitch Composite Sewing Machine (Black)","I1-RHYF-844C","B00Z20LKQG","New","unassigned","BOM7","80423.18","24","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige Die Cast Plus Square Grill Pan, 280mm, Black","II-ELFS-H3IL","B00TGQJBF4","New","unassigned","BOM7","5008.92","3","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","100.0"
"Prestige Svachh, 10752, 3 L, Nakshatra Duo Red Handi, with deep lid for Spillage Control","IP-XBXC-2KJ0","B085YG9V27","New","unassigned","BOM7","4828.53","4","10","2","","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Nokia 105 (Black)","ML-XX96-E1TD","B0745BNFYV","New","unassigned","BOM7","1983.08","2","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Bajaj Blow Hot 2000 Watts Fan Forced Circulation Room Heater","NE-GPH7-Y6XW","B009P2LKQ2","New","unassigned","BLR4","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Bajaj Blow Hot 2000 Watts Fan Forced Circulation Room Heater","NE-GPH7-Y6XW","B009P2LKQ2","New","unassigned","BOM7","95280.6","60","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Wonderchef Royal Velvet Induction Base Aluminium Cookware Set, 5-Pieces,Olive Green","P7-8H8X-RL46","B07G8FD94L","New","unassigned","BOM7","9642.87","3","7","2","low_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"AO Smith HAS-X1-015 Storage 15 Litre Horizontal Water Heater (Geyser) White - 4 Star","TD-D7JE-I6P1","B0152X4708","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef - 63151691 Granite Die-Cast Aluminium Induction Base Casserole Set, 6-Pieces, Grey","UB-LKKO-TGRE","B0193540M6","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","Not Available"
"Wonderchef - 63151691 Granite Die-Cast Aluminium Induction Base Casserole Set, 6-Pieces, Grey","UB-LKKO-TGRE","B0193540M6","New","unassigned","BLR4","3296.42","1","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Realme 6i (Lunar White, 64 GB) (6 GB RAM)","V1-M37P-62FJ","B08G8V8VCJ","New","unassigned","BOM7","22949.16","2","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Bajaj Majesty RX11 2000 Watts Heat Convector Room Heater (White, ISI Approved)","W1-IBST-F7E4","B009P2LITG","New","unassigned","PNQ2","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","North","SDEA,SDEE,SDED","100.0"
"Bajaj Majesty RX11 2000 Watts Heat Convector Room Heater (White, ISI Approved)","W1-IBST-F7E4","B009P2LITG","New","unassigned","BLR4","4121.18","2","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","100.0"
"Maharaja Whiteline Jmg Odacio Plus 450-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","X7-GWBX-T2Y7","B07NDY84LK","New","unassigned","BLR4","0.0","0","0","","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Maharaja Whiteline Jmg Odacio Plus 450-Watt Juicer Mixer Grinder with 3 Jars (Black/Silver)","X7-GWBX-T2Y7","B07NDY84LK","New","unassigned","BOM7","2372.03","1","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"(Renewed) Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr)","amzn1.fba.v1.anpLCv0Ss2swoKIAdO29q-4MY3c","B07M5N7SYM","New","unassigned","BLR4","0.0","0","0","0","out_of_stock","1","4","1","4","24/01/21","24/01/21","South1 (BLR)","BLR5,BLR7","Not Available"
"Panasonic KX-TSC60SXB Corded Phone (Black)","panasonic_KX_TSC60SXB","B00DM58OGM","New","unassigned","BOM7","26659.29","29","4","1","low_stock","1","4","1","4","24/01/21","24/01/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Bajaj GX 3701 750 Watts Mixer Grinder with 3 Jars (Black)","8N-NXOH-54QB","B082FYNYVG","New","unassigned","BOM7","127447.46","45","22","24","","18","4","18","4","01/02/21","15/02/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
"Prestige PKPW 1.0 900-Watt Electric Kettle","ET-HU35-65DT","B00935MEPM","New","unassigned","BOM7","19317.73","26","24","2","","3","4","3","4","06/02/21","20/02/21","West","BOM6,SPNA,BOM5,SBOA,BOM1,QWTT,SBOC,BOM4,BOM3,SIDA","Not Available"
