"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"14-Feb-2021 6:50:20 am UTC","15013882102","Order
","407-8314708-9578709","ZA-5C38-SPJT","Panasonic Single Line 2.4GHz KX-TG3811SX Digital Cordless Telephone (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHIDAMBARAM","TAMIL NADU","608001","4,117.80","0","0","741.20","0","0","-41.18","-286.68","-109.74","-35.40","0","4,386.00"
"14-Feb-2021 6:55:26 am UTC","15013882102","Refund
","408-1239400-6474739","H3-MQ7E-4G7S","Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","AGRA","UTTAR PRADESH","282005","-4,607.63","-33.90","33.90","-829.37","0","0","46.08","333.62","0","35.40","0","-5,021.90"
"14-Feb-2021 6:59:04 am UTC","15013882102","Order
","406-6741015-0515544","89-BAQI-G0RY","Bajaj Majesty RCX 1 Mini 0.4-Litre Multifunction Rice Cooker (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NALGONDA","TELANGANA","508223","1,137.29","0","0","204.71","0","0","-11.37","-87.10","-109.74","-35.40","0","1,098.39"
"14-Feb-2021 6:59:21 am UTC","15013896932","Order
","402-4049742-4025118","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KOTKAPURA","PUNJAB","151204","422.88","33.90","-33.90","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 6:59:34 am UTC","15013896932","Order
","405-9558802-6694719","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BENGALURU","KARNATAKA","560034","4,394.07","33.90","-33.90","790.93","0","0","-43.94","-397.70","-230.10","-35.40","0","4,477.86"
"14-Feb-2021 6:59:38 am UTC","15013882102","Order
","171-2246515-2324326","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","JODHPUR","RAJASTHAN","342011","422.88","0","0","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 7:05:32 am UTC","15013882102","Order
","404-4423697-8253930","0K-OYMU-W4KX","OPPO Reno3 Pro (Sky White, 8GB RAM, 128GB Storage) Without Offer","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560042","19,211.86","33.90","-33.90","3,458.14","-96.06","-96.06","0","-1,337.54","0","-35.40","0","21,104.94"
"14-Feb-2021 7:12:03 am UTC","15013882102","Refund
","405-5756851-5199538","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","SAHARANPUR","UTTAR PRADESH","247001","-503.39","0","0","-90.61","0","0","5.03","30.84","0","17.70","0","-540.43"
"14-Feb-2021 7:13:24 am UTC","15013882102","Order
","407-2539580-2253950","CJ-898G-RY8N","Bajaj Ivora Crimson Red 800 Watts, 3 Jar Mixer Grinder with Anti-Germ & Anti-dust Coating-Red","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122052","3,448.31","33.90","-33.90","620.69","0","0","-34.48","-264.08","-187.62","-35.40","0","3,547.42"
"14-Feb-2021 7:13:30 am UTC","15013882102","Order
","407-8919623-3547507","KH-7YIR-FZ5G","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, In","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400104","2,964.41","33.90","-33.90","533.59","0","0","-29.64","-227.02","-152.22","-35.40","0","3,053.72"
"14-Feb-2021 7:13:47 am UTC","15013896932","Order
","406-4647519-5948362","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Nallasopara","MAHARASHTRA","401203","422.88","0","0","76.12","0","0","-4.23","-32.39","-88.50","-23.60","0","350.28"
"14-Feb-2021 7:14:08 am UTC","15013882102","Order
","403-5520652-7584305","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560003","825.42","33.90","-33.90","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"14-Feb-2021 7:19:50 am UTC","15013896932","Adjustment
","403-0892869-4946725","ZG-JIO1-3A5C","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","610.25","610.25"
"14-Feb-2021 7:27:00 am UTC","15013896932","Order
","407-2444376-2174761","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KUKSHI","MADHYA PRADESH","454331","4,394.06","33.90","-33.90","790.94","-21.97","-21.97","0","-397.70","-230.10","-35.40","0","4,477.86"
