"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"11-Feb-2021 7:48:04 am UTC","14992905562","Order
","402-9662618-2026705","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","ZAMANIA","UTTAR PRADESH","232328","972.88","0","0","175.12","0","0","-9.73","-67.73","-81.42","-53.10","0","936.02"
"11-Feb-2021 7:48:04 am UTC","14992905562","Order
","406-2265031-5365111","LA-HPIM-NGYD","Bajaj ICX Pearl 1900-Watt Induction Cooker (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Boudh","ODISHA","762013","2,159.32","33.90","-33.90","388.68","0","0","-21.59","-165.37","-168.74","-53.10","0","2,139.20"
"11-Feb-2021 7:48:04 am UTC","14992905562","Order
","405-9234791-4550752","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","AHMEDABAD","GUJARAT","380015","2,168.64","0","0","390.36","0","0","-21.69","-150.98","-81.42","-53.10","0","2,251.81"
"11-Feb-2021 7:48:04 am UTC","14992905562","Order
","404-8351340-6181162","LS-HEBN-E5O2","Wonderchef Luxor Wok 24cm","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VISAKHAPATNAM","ANDHRA PRADESH","530003","1,245.54","17.86","-17.86","149.46","0","0","-12.46","-189.31","-168.74","-53.10","0","971.39"
"11-Feb-2021 7:48:06 am UTC","14992864822","Order
","406-2827454-8915543","FK-21U0-6T47","Philips HP8143/00 Hair Dryer (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","LUDHIANA","PUNJAB","141003","825.42","33.90","-33.90","148.58","0","0","-8.25","-109.19","-112.10","-29.50","0","714.96"
"11-Feb-2021 7:48:07 am UTC","14992905562","Order
","406-0370897-3986742","1W-9BHN-YSTS","realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","UDUPI","KARNATAKA","576104","2,020.34","33.90","-33.90","363.66","0","0","-20.20","-421.97","-81.42","-53.10","0","1,807.31"
"11-Feb-2021 7:48:07 am UTC","14992905562","Order
","403-9652570-3859524","85-D4YJ-OOPA","Prestige PIC 16.0+ 1900- Watt Induction Cooktop with Push button (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PARBHANI","MAHARASHTRA","431401","1,820.34","33.90","-33.90","327.66","0","0","-18.20","-139.41","-123.90","-53.10","0","1,813.39"
"11-Feb-2021 7:48:10 am UTC","14992905562","Order
","407-7745270-1901109","1W-9BHN-YSTS","realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THANE","MAHARASHTRA","400604","2,022.03","0","0","363.97","0","0","-20.22","-422.32","-56.64","-53.10","0","1,833.72"
"11-Feb-2021 7:48:16 am UTC","14992864822","Order
","402-5370257-1281135","1W-9BHN-YSTS","realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SALEM","TAMIL NADU","636015","2,020.34","33.90","-33.90","363.66","0","0","-20.20","-421.97","-81.42","-53.10","0","1,807.31"
"11-Feb-2021 7:48:16 am UTC","14992864822","Order
","403-0277950-2405976","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MYSURU","KARNATAKA","570017","972.88","33.90","-33.90","175.12","0","0","-9.73","-67.73","-81.42","-53.10","0","936.02"
"11-Feb-2021 7:48:17 am UTC","14992905562","Order
","404-2775925-8525947","LA-HPIM-NGYD","Bajaj ICX Pearl 1900-Watt Induction Cooker (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600116","2,159.32","33.90","-33.90","393.26","0","0","-21.84","-165.37","-168.74","-53.10","0","2,168.95"
"11-Feb-2021 7:48:17 am UTC","14992905562","Order
","171-3361751-3937935","KH-7YIR-FZ5G","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, In","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GUNTUR","ANDHRA PRADESH","522006","3,133.90","0","0","564.10","0","0","-31.34","-240.00","-197.06","-53.10","0","3,176.50"
"11-Feb-2021 7:48:19 am UTC","14992864822","Order
","171-4394091-8448340","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MALAPPURAM","KERALA","679338","972.88","0","0","175.12","0","0","-9.73","-67.73","-81.42","-53.10","0","936.02"
"11-Feb-2021 7:48:22 am UTC","14992864822","Order
","408-6224184-1497947","FK-21U0-6T47","Philips HP8143/00 Hair Dryer (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","ROHTAK","HARYANA","124001","825.42","16.95","-16.95","148.58","0","0","-8.25","-109.19","-112.10","-29.50","0","714.96"
"11-Feb-2021 7:48:22 am UTC","14992864822","Order
","407-5841982-6369138","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","ALLAHABAD","UTTAR PRADESH","211004","972.88","0","0","175.12","0","0","-9.73","-67.73","-81.42","-53.10","0","936.02"
"11-Feb-2021 7:48:26 am UTC","14992864822","Order
","408-9804630-8494763","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","DEHRI","BIHAR","821305","972.88","0","0","175.12","0","0","-9.73","-67.73","-81.42","-53.10","0","936.02"
"11-Feb-2021 7:48:29 am UTC","14992905562","Order
","171-5559415-1465146","FL-FTRV-4P4K","Prestige Popular Aluminium Pressure Cooker with Outer Lid, 20 Litres, Silver","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600096","4,803.57","35.71","-35.71","576.43","0","0","-48.04","-444.39","-384.68","-53.10","0","4,449.79"
"11-Feb-2021 7:48:35 am UTC","14992905562","Order
","405-9137976-9534727","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THOTTADA","KERALA","670621","2,174.58","33.90","-33.90","391.42","0","0","-21.75","-151.39","-112.10","-53.10","0","2,227.66"
"11-Feb-2021 7:48:35 am UTC","14992905562","Order
","406-1476580-0530725","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VIJAYAWADA","ANDHRA PRADESH","521102","2,174.58","0","0","391.42","0","0","-21.75","-151.39","-112.10","-53.10","0","2,227.66"
"11-Feb-2021 7:48:38 am UTC","14992864822","Order
","404-7804874-9182766","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","THANE","MAHARASHTRA","401107","2,168.64","0","0","390.36","0","0","-21.69","-150.98","-81.42","-53.10","0","2,251.81"
"11-Feb-2021 7:48:38 am UTC","14992864822","Order
","407-5950119-2877137","XI-R1RY-ZKUE","Panasonic KX-TG3611BX Digital Cordless Phone (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","PATHANAMTHITTA","KERALA","689586","1,885.59","33.90","-33.90","339.41","0","0","-18.86","-131.28","-112.10","-53.10","0","1,909.66"
"11-Feb-2021 7:48:42 am UTC","14992864822","Order
","407-1062411-5041921","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SIRKALI","TAMIL NADU","609110","2,174.58","33.90","-33.90","391.42","0","0","-21.75","-151.39","-112.10","-53.10","0","2,227.66"
"11-Feb-2021 7:48:42 am UTC","14992864822","Order
","406-7623900-5174730","TN-Y34P-OK99","Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Dibiyapur","UTTAR PRADESH","206244","4,906.78","16.95","-16.95","883.22","0","0","-49.07","-444.09","-331.58","-53.10","0","4,912.16"
"11-Feb-2021 7:48:42 am UTC","14992864822","Order
","408-0403323-5279535","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","GWALIOR","MADHYA PRADESH","474020","972.88","33.90","-33.90","175.12","-4.86","-4.86","0","-67.73","-56.64","-53.10","0","960.81"
"11-Feb-2021 7:48:45 am UTC","14992864822","Order
","406-1472973-3707559","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Narayanpur","JHARKHAND","815352","972.88","33.90","-33.90","175.12","0","0","-9.73","-67.73","-81.42","-53.10","0","936.02"
"11-Feb-2021 7:48:48 am UTC","14992905562","Order
","408-2412089-0901105","8X-AZQL-GWOE","Panasonic Single Line 2.4GHz KX-TG3711SX Digital Cordless Telephone","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","AHMEDABADa","GUJARAT","380054","2,168.64","0","0","390.36","0","0","-21.69","-150.98","-81.42","-53.10","0","2,251.81"
"11-Feb-2021 7:48:54 am UTC","14992905562","Order
","403-1786636-1089942","SV-NGY5-GP7L","Maharaja Whiteline MX-220 1000 W Ultramax HD 3 Stainless Steel Jar Mixer Grinder (Black with Chrome Finish)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Kottayam","KERALA","686632","3,561.86","33.90","-33.90","641.14","0","0","-35.62","-272.78","-331.58","-53.10","0","3,509.92"
"11-Feb-2021 7:49:05 am UTC","14992864822","Order
","406-7028829-3993906","MF-7MOF-VLFR","Pigeon by Stovekraft Rapido Cute Induction Cooktop","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","AVITTATHUR","KERALA","680683","1,210.17","33.90","-33.90","217.83","0","0","-12.10","-92.68","-168.74","-53.10","0","1,101.38"
"11-Feb-2021 7:49:28 am UTC","14992905562","Order
","171-6192068-8814752","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","COIMBATORE","TAMIL NADU","641025","972.88","33.90","-33.90","175.12","0","0","-9.73","-67.73","-81.42","-53.10","0","936.02"
"11-Feb-2021 7:49:44 am UTC","14992905562","Order
","406-6144731-0856316","QB-VUGQ-2XVB","Nokia 105 Single SIM (Pink)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","lucknow","UTTAR PRADESH","226010","972.88","0","0","175.12","0","0","-9.73","-67.73","-81.42","-53.10","0","936.02"
"11-Feb-2021 7:49:44 am UTC","14992864822","Order
","171-4622982-8394751","A9-6UMX-BRQF","Nokia 105 (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SOPORE","JAMMU & KASHMIR","193201","1,020.34","33.90","-33.90","183.66","0","0","-10.20","-71.04","-81.42","-53.10","0","988.24"
"11-Feb-2021 7:49:47 am UTC","14992864822","Order
","408-0164591-3980318","1W-9BHN-YSTS","realme Buds Air Neo True Wireless Headphone with mic, Bluetooth 5.0, Deep Bass, IPX4 Sweatproof (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Borsad","GUJARAT","388540","0","0","0","0","0","0","0","0","0","0","0","0"
"11-Feb-2021 7:50:02 am UTC","14992905562","Order
","403-8522243-6916348","57-ELHQ-607Z","Bajaj New Majesty Instant 1 Litre, 3 KW Verical Water Heater (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400101","2,113.56","0","0","380.44","0","0","-21.14","-161.86","-166.38","-53.10","0","2,091.52"
"11-Feb-2021 7:55:09 am UTC","14992864822","Order
","408-6103245-7428307","KV-8RGM-86LU","Panasonic AC MX-AC400 550-Watt Super Mixer Grinder with 4 Jars (White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BENGALURU","KARNATAKA","560070","4,023.73","33.90","-33.90","724.27","0","0","-40.24","-308.15","-244.26","-35.40","0","4,119.95"
"11-Feb-2021 7:58:36 am UTC","14992905562","Order
","406-7966794-2654710","XI-R1RY-ZKUE","Panasonic KX-TG3611BX Digital Cordless Phone (Black)","9","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MANGALURU","KARNATAKA","575015","16,970.31","30.51","-30.51","3,054.69","0","0","-169.74","-1,181.48","-106.20","-477.90","0","18,089.68"
"11-Feb-2021 7:58:51 am UTC","14992905562","Order
","404-5579468-8415528","A9-6UMX-BRQF","Nokia 105 (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560093","1,015.25","16.95","-16.95","182.75","0","0","-10.15","-70.68","-81.42","-53.10","0","982.65"
"11-Feb-2021 7:59:46 am UTC","14992905562","Refund
","404-8160371-6587539","0N-8MYQ-7DUK","Prestige PKNSS Electric Kettle, Silver, 1.0 L","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500032","-1,152.54","0","0","-207.46","0","0","11.53","70.61","0","35.40","0","-1,242.46"
"11-Feb-2021 8:08:38 am UTC","14992864822","Order
","403-4837288-2301158","K6-A44K-8QEL","Samsung Galaxy Buds Live (SM-R180NZNAINU) Mystic Bronze","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","meerut","UTTAR PRADESH","250004","8,605.08","33.90","-33.90","1,548.92","0","0","-86.05","-1,797.26","-62.54","-35.40","0","8,172.75"
"11-Feb-2021 8:15:32 am UTC","14992905562","Order
","406-8805024-0238745","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BHUBANESWAR DT- KHORDA","ODISHA","751006","1,847.32","35.71","-35.71","221.68","0","0","-18.47","-158.70","-173.46","-35.40","0","1,682.97"
"11-Feb-2021 8:15:42 am UTC","14992864822","Order
","407-9008343-1358726","KY-H34R-68T0","Prestige Induction Cooktop Pic 20.0 With Omega Deluxe Byk Set 3 Pc Set,Black","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","NASRIGAGNJ","BIHAR","821310","3,041.53","33.90","-33.90","547.47","0","0","-30.42","-232.93","-230.10","-35.40","0","3,060.15"
"11-Feb-2021 8:17:11 am UTC","14992905562","Order
","407-7255198-4203556","3H-2RNC-CPSJ","Maharaja Whiteline HB-116 130 W Turbomix King Hand Blender (White & Red) With Ice Crushing Function","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","JAMNAGAR","GUJARAT","361150","1,270.34","0","0","228.66","0","0","-12.70","-97.29","-109.74","-35.40","0","1,243.87"
"11-Feb-2021 8:23:00 am UTC","14992864822","Refund
","405-8030940-9638730","WN-8CTJ-TN3B","Nutri-Blend, 22000 RPM Mixer-Grinder, Blender, SS Blades, 3 Unbreakable Jars, 2 Years Warranty, 400 W-Black, Includes Exclusive Recipe Book By Chef Sa","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Ahmedabad","GUJARAT","380058","-2,388.98","0","0","-430.02","0","0","23.89","146.37","0","35.40","0","-2,613.34"
"11-Feb-2021 8:24:32 am UTC","14992864822","Order
","171-4268570-3399519","3H-2RNC-CPSJ","Maharaja Whiteline HB-116 130 W Turbomix King Hand Blender (White & Red) With Ice Crushing Function","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Visakhapatnam","ANDHRA PRADESH","530014","1,270.34","33.90","-33.90","228.66","0","0","-12.70","-97.29","-109.74","-35.40","0","1,243.87"
"11-Feb-2021 8:28:08 am UTC","14992905562","Order
","407-9204171-7725108","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500038","866.07","35.71","-35.71","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"11-Feb-2021 8:28:21 am UTC","14992905562","Order
","407-3050007-9823517","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GHAZIABAD","UTTAR PRADESH","201010","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"11-Feb-2021 8:29:51 am UTC","14992905562","Order
","405-0286271-7127579","L9-MZGG-U836","Wonderchef - 63152931 Luxe Multicook 1.2 L Kettle, Red","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VELLORE","TAMIL NADU","632104","1,609.32","0","0","289.68","0","0","-16.09","-123.25","-109.74","-35.40","0","1,614.52"
"11-Feb-2021 8:32:13 am UTC","14992905562","Refund
","406-7937451-7880305","G7-5IHV-DWGL","Morphy Richards Fresco 800-Watt 4-Cups Espresso Coffee Maker (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THANE","MAHARASHTRA","401101","-3,168.64","0","0","-570.36","0","0","31.69","194.14","0","35.40","0","-3,477.77"
"11-Feb-2021 8:33:14 am UTC","14992905562","Order
","405-7424758-6925113","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","SURAT","GUJARAT","394230","866.07","35.71","-35.71","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"11-Feb-2021 8:37:16 am UTC","14992905562","Order
","171-0418090-6180301","0Z-AE13-IBWN","Bajaj JEX 16 800-Watt Juicer (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Neri, HAMIRPUR","HIMACHAL PRADESH","177001","4,101.69","0","0","738.31","0","0","-41.02","-314.12","-187.62","-35.40","0","4,261.84"
"11-Feb-2021 8:37:30 am UTC","14992905562","Order
","405-3637532-3705123","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","ANKLESHWAR","GUJARAT","393001","866.07","35.71","-35.71","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"11-Feb-2021 8:37:30 am UTC","14992905562","Order
","402-9393117-6769950","GF-3KCS-4AID","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Black,","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400016","2,912.71","0","0","524.29","0","0","-29.13","-223.07","-152.22","-35.40","0","2,997.18"
"11-Feb-2021 8:37:33 am UTC","14992864822","Order
","408-9013551-1025128","NX-GKMV-4V85","Usha CPJ 382S NutriPress Cold Press Juicer with Full Mouth Feeding Tube, 200 Watt (Black & White)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","UDAIPUR","RAJASTHAN","313001","6,049.15","33.90","-33.90","1,088.85","0","0","-60.49","-968.63","-173.46","-35.40","0","5,900.02"
"11-Feb-2021 8:37:33 am UTC","14992905562","Order
","408-7422680-4205912","51-VTL9-C956","Bajaj Food Factory FX 11 600-Watt Food Processor (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500034","5,444.07","0","0","979.93","0","0","-54.44","-492.72","-315.06","-35.40","0","5,526.38"
"11-Feb-2021 8:37:43 am UTC","14992905562","Refund
","402-9970302-2989931","UB-LKKO-TGRE","Wonderchef - 63151691 Granite Die-Cast Aluminium Induction Base Casserole Set, 6-Pieces, Grey","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Hyderabad","Andhra Pradesh","500050","-3,186.61","0","0","-382.39","0","0","31.87","219.00","0","35.40","0","-3,282.73"
"11-Feb-2021 8:37:53 am UTC","14992864822","Order
","403-8502593-8196331","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KISHANGARH AJMER DISTRICT","RAJASTHAN","305817","825.42","33.90","-33.90","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"11-Feb-2021 8:37:53 am UTC","14992864822","Order
","408-6275129-2961904","ID-4QKW-F311","Wonderchef Nutri-Pot 3L 7 in 1 Programmable (Slow Cooker, Steamer, Yogurt Maker, Saute, Rice Cooker, Warmer and Pressure Cooker) 18 preset functions f","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","THANE","MAHARASHTRA","400602","0","0","0","0","0","0","0","0","0","0","0","0"
"11-Feb-2021 8:37:59 am UTC","14992864822","Order
","403-7334035-7431515","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","SAO JOSE DE AREAL","GOA","403709","825.42","33.90","-33.90","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"11-Feb-2021 8:38:05 am UTC","14992864822","Order
","404-4733173-5652320","UI-K2A1-GKRP","Wonderchef - 63152446 Automatic Soup Maker 800-Watt (White and Steel)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BHOPAL","MADHYA PRADESH","462039","5,144.92","33.90","-33.90","926.08","-25.72","-25.72","0","-465.65","-173.46","-35.40","0","5,345.05"
"11-Feb-2021 8:38:09 am UTC","14992905562","Order
","407-8000793-4256328","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122022","455.93","0","0","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"11-Feb-2021 8:38:42 am UTC","14992905562","Order
","171-4744674-0054719","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600053","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"11-Feb-2021 8:38:56 am UTC","14992864822","Order
","171-8999816-8756357","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","Chapra","Bihar","841301","455.93","33.90","-33.90","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"11-Feb-2021 8:39:11 am UTC","14992905562","Order
","171-0509036-5984337","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THANE","MAHARASHTRA","401105","455.93","0","0","82.07","0","0","-4.56","-34.92","-88.50","-17.70","0","392.32"
"11-Feb-2021 8:44:12 am UTC","14992905562","Order
","408-8247309-2801118","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KOLKATA","WEST BENGAL","700052","1,847.32","0","0","221.68","0","0","-18.47","-158.70","-173.46","-35.40","0","1,682.97"
"11-Feb-2021 8:44:32 am UTC","14992864822","Order
","408-9661282-4202748","ubnh75gfam","Prestige Popular Plus Induction Base Pressure Cooker, 2 Litres, Silver","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","THEKASHU PT II","ASSAM","783124","1,053.57","0","0","126.43","0","0","-10.54","-97.47","-130.98","-35.40","0","905.61"
"11-Feb-2021 8:44:42 am UTC","14992864822","Order
","408-8676919-0797106","0Z-AE13-IBWN","Bajaj JEX 16 800-Watt Juicer (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","VYARA","GUJARAT","394650","0","0","0","0","0","0","0","0","0","0","0","0"
"11-Feb-2021 8:45:00 am UTC","14992905562","Order
","403-2173844-6927526","IT-RHCZ-FEN9","Eureka Forbes AquaSure from Aquaguard Amaze RO+UV+MTDS 7L Water Purifier","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THANE","MAHARASHTRA","401107","8,889.83","0","-416.10","1,525.27","0","0","-84.74","-766.93","-272.58","-35.40","0","8,839.35"
"11-Feb-2021 8:46:18 am UTC","14992905562","Order
","406-8039561-2238711","X1-TXPB-NR26","Bergner Infinity Chefs Forged Aluminium Non-Stick Casserole with Glass Lid, 20 cm, 2.5 Liters, Induction Base, Copper","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NORTH GOA","GOA","403515","1,556.25","0","0","186.75","0","0","-15.56","-236.53","-109.74","-35.40","0","1,345.77"
"11-Feb-2021 8:51:12 am UTC","14992864822","Order
","408-3664676-1608357","EF-2PD9-UCGN","Samsung Metro 313 (SM-B313E, Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","GORAKHPUR","UTTAR PRADESH","273158","1,923.73","33.90","-33.90","346.27","0","0","-19.24","-133.93","-62.54","-35.40","0","2,018.89"
"11-Feb-2021 8:55:43 am UTC","14992905562","Order
","408-4951588-1157948","S3-CYFJ-QD1X","Wahl 09865-2924 Pure Confidence Grooming Trimmer for Women (Pink)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BONGAIGAON RPCL TOWNSHIP","ASSAM","783385","1,862.71","0","0","335.29","0","0","-18.63","-246.40","-88.50","-35.40","0","1,809.07"
"11-Feb-2021 8:58:27 am UTC","14992864822","Order
","405-9876932-1541101","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","HYDERABAD","TELANGANA","500088","1,253.39","33.90","-33.90","225.61","0","0","-12.53","-95.99","-130.98","-35.40","0","1,204.10"
