Product Name,Sku,Facility,Stock,Cost Price,Avg Cost Price,Mrp,Selling Price
Saregama Carvaan Mini 2.0 Bluetooth Speaker ( Skyline Blue ) Sar-Car-Mini-2.0-Blu-Spe-Sky-Blu,Sar-Car-Mini-2.0-Blu-Spe-Sky-Blu,Defective001,1,0,0,0,0
Skullcandy S2DUYK-343 Jib with Mic (Black),S2DUYK-343,Defective001,1,0,0,0,0
HAVELLS 1200MM FAN ENTICER  P. WHT CHROME,Hav-1200mm-Fan-Ent-P-Wht-Chr,Defective001,2,0,0,0,0
"Skullcandy Method Bluetooth Wireless Sport Earbuds with Mic Swirl Gray Red, S2CDW-K605",S2CDW-K605,Defective001,1,0,0,0,0
Panasonic SR-WA18 E 4.4-Litre Automatic Rice Cooker (White),SR-WA18-E,Defective001,3,0,0,0,0
Zebronics MELLOW 2.0 Wired Speaker ( Black ),ZEB-Mellow-2-0-Blk,Defective001,1,0,0,0,0
"Nokia 4.2 (Black, 32 GB) (3 GB RAM)",NOK-4-2-3-32-BLK,Defective001,1,0,0,0,0
"Americano Polycarbonate Briefcase (16"", Black)",Ameri-Briefcase-Black-16-Blk,Defective001,1,0,0,0,0
EUREKA FORBES VACUUM CLEANER EASY CLEAN PLUS,EUR-FOR-VAC-CLE-EAS-CLN-PLS,Defective001,2,0,0,0,0
Skullcandy Crushser Wireless Over-Ear Headphone with Mic (Gray/Tan,Skull-can-Crush-gry-tan,Defective001,1,0,0,0,0
Redmi Note 7S Sapphire Blue 3-32GB,Redmi-Not-7S-3-32-Shp-Blu,Defective001,1,0,0,0,0
Zebronics Zeb-Astra Portable Bluetooth Speaker,Zeb-Astra-blk,Defective001,1,0,0,0,0
Panasonic KX-TSC62SXB Corded Telephone,PAN-KX-TSC62SXB,Defective001,1,0,0,0,0
FIrst Smile Nappy Changing Mat/Sleeping mats/Water Proof Bed Protector with Foam Cushioned for New Born Baby 4 Sheets (0-6 Months),Fs-ChangingMats-1,Defective001,6,0,0,0,0
Prestige 3 burner marvel plus GTM 03- black 40189,40189,Defective001,1,0,0.03,0,0
Logitech MK240 NANO Mouse and Keyboard Combo Black Color,Logi-MK240-Combo-Black/Yellow,Defective001,2,0,0,0,0
Logitech MK240 Wireless Keyboard and Mouse Combo (White&Vivid Red),Logi-MK240-combo-Wht/Red,Defective001,2,0,0,0,0
"Bajaj New Majesty Instant 3 LTR Vertical Water Heater, White",150768,Defective001,2,0,0,0,0
Bajaj Maxima 300MM Exhaust Fan,BAJ-MAX-300-EXH-FAN,Defective001,1,0,0,0,0
Terabyte  SATA Laptop Portable External Harddisk Case,0012,Defective001,1,0,0,0,0
Panasonic SR-WA10 ge9 Automatic Electric Rice Cooker (Burgundy),Pan-SR-WA10-GE9-Bur,Defective001,2,0,0,0,0
EZVIZ CS-CV206(C0-1A1WFR) 1 MP MINI O,EZVIZ-CS-CV206,Defective001,1,0,0,0,0
First Smile New Born Baby Hosiery Cotton Cloth Reusable Diaper Nappies | Soft Cotton | Comfortable | for Newborn | Infant | Washable for Babies,Fs_ColoredNappies_Pk6,Defective001,1,0,0,0,0
Skullcandy JIB S2DUDZ-003 In-Ear Headphone (Black),Skul-Jib-S2DUDZ-003-BLK,Defective001,20,0,0,0,0
Skullcandy S2DUDZ-072 in-Ear Headphones (White),SKUL-S2DUDZ-072-WHT,Defective001,1,0,0,0,0
Skullcandy S2DUDZ042 in-Ear Headphone (Purple),Skul-S2DUDZ042-Purple,Defective001,2,0,0,0,0
Panasonic SR-942D 10-Litre Automatic Rice Cooker,Pana-SR-942D-10-Ltr-Rice-Cooker,Defective001,1,0,0,0,0
Bajaj Majesty RX11 2000 Watts Heat Convector Room Heater (Ivory),Baj-maj-rx11-room-hea-ivr,Defective001,2,0,0,0,0
Skullcandy S2DUDZ012 in-Ear Headphone (Blue),S2DUDZ012,Defective001,2,0,0,0,0
