"snapshot-date","sku","fnsku","asin","product-name","condition","sales-rank","product-group","total-quantity","sellable-quantity","unsellable-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","units-shipped-last-24-hrs","units-shipped-last-7-days","units-shipped-last-30-days","units-shipped-last-90-days","units-shipped-last-180-days","units-shipped-last-365-days","weeks-of-cover-t7","weeks-of-cover-t30","weeks-of-cover-t90","weeks-of-cover-t180","weeks-of-cover-t365","num-afn-new-sellers","num-afn-used-sellers","currency","your-price","sales-price","lowest-afn-new-price","lowest-afn-used-price","lowest-mfn-new-price","lowest-mfn-used-price","qty-to-be-charged-ltsf-12-mo","qty-in-long-term-storage-program","qty-with-removals-in-progress","projected-ltsf-12-mo","per-unit-volume","is-hazmat","in-bound-quantity","asin-limit","inbound-recommend-quantity","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo"
"2021-02-13T18:30:00+00:00","Fs_BabyKnneePad_Green","X0012A6NFV","B07R8LG3K1","First Smile Boy's and Girl's Knee Pad/Guard for Crawling (Green)","New","0","gl_baby_product","8","8","0","0","8","0","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","199.00","199.00","199.00","0.00","0.00","0.00","0","0",,"0.00","125.000274","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","X0-8H08-04VV","X00128X83X","B00EICF9O8","Prestige Deluxe Plus Baby Induction Base Aluminium Pressure Handi, 2 Litres, Flame Red","New","132287","gl_kitchen","10","10","0","10","0","0","0","0","1","5","20","22","22","22","2.0","2.0","5.9090909090909","11.8181818181818","23.6363636363636","1","0","INR","1660.00","1660.00","1660.00","0.00","0.00","0.00","0","0",,"0.00","19484.439831","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","0B-E6ZY-GXG0","X0011Z9SDL","B07L12RZXL","Prestige Induction Cooktop PIC 6.1 V3","New","1221","gl_kitchen","106","106","0","106","0","0","0","0","0","0","0","1","123","307","Infinite","Infinite","1378.0","22.4065040650407","17.9543973941368","15","0","INR","3900.00","3900.00","3197.00","0.00","3340.00","0.00","0","0",,"0.00","16328.195848","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","6M-2OJF-3LLY","X0011XY7K7","B07DCTWKVH","Bajaj Calenta Digi Storage 15-Litre Vertical Water (Brown/White)","New","173719","gl_kitchen","6","6","0","6","0","0","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","5","0","INR","13300.00","13300.00","9980.00","0.00","10523.00","0.00","0","0",,"0.00","84041.104666","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","Fs_TrackPants_3-12_new","X0011S1GXX","B07TSDF3BJ","First Smile Baby Combo of Multicolored Boys/Girls Track Pant/Baby Pajama - Pack of 6 (3-12 Months)","New","0","gl_baby_product","2","2","0","0","1","1","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","520.00","520.00","520.00","0.00","0.00","0.00","0","0",,"0.00","2792.796131","N","0","0","0","1","49.46"
"2021-02-13T18:30:00+00:00","1-1.5 Years","X0011RYUVT","B07TYLJGCN","First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor Unisex (Pack of 6) (1-1.5 Years)","New","0","gl_baby_product","1","1","0","0","0","0","0","1","0","0","0","0","0","1","Infinite","Infinite","Infinite","Infinite","52.0","1","0","INR","549.00","549.00","549.00","0.00","0.00","0.00","0","0",,"0.00","197.954513","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","3-6 Months","X0011RYB0T","B07TYPN2CM","First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor Unisex (Pack of 6) (3-6 Months)","New","0","gl_baby_product","3","3","0","2","1","0","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","499.00","499.00","499.00","0.00","0.00","0.00","0","0",,"0.00","1781.079929","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","pajama_6-12 Months","X0011QJETN","B07TWLRC6J","First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor (Unisex Pack of 6) (6-12 Months)","New","0","gl_baby_product","1","1","0","0","0","0","0","1","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","520.00","520.00","520.00","0.00","0.00","0.00","0","0",,"0.00","197.954513","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","DK-DC3A-PGBA","X0011PGG63","B008P7IXAY","Morphy Richards SM3006(G) 750-Watt Grill Sandwich Toaster (Silver and Black)","New","16523","gl_kitchen","8","8","0","8","0","0","0","0","2","4","4","4","13","15","2.0","8.0","26.0","16.0","27.7333333333333","4","0","INR","1990.00","1990.00","1990.00","0.00","1990.00","0.00","0","0",,"0.00","9004.519754","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","40205","X0011OLTTX","B01KZVPZIU","Gst Royale Plus Schott Glasstop Gt03L Ai","New","36071","gl_kitchen","20","20","0","20","0","0","0","0","0","0","1","10","17","17","Infinite","80.0","26.0","30.5882352941176","61.1764705882353","5","0","INR","9280.00","9280.00","8387.00","0.00","8920.00","0.00","0","0",,"0.00","73445.820961","N","0","0","0","0","0.00"
"2021-02-13T18:30:00+00:00","FS_elasticpajama(0-3)_New","X0011OK76T","B07TP2CPK8","First Smile Baby Kids Soft Cotton Track Pants Pajama with Soft Elasticated Waistband for Kids Multicolor (Pack of 6) (0-3 Months)","New","0","gl_baby_product","3","3","0","0","1","2","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","499.00","499.00","499.00","0.00","0.00","0.00","0","0",,"0.00","197.954513","N","0","0","0","2","35.40"
"2021-02-13T18:30:00+00:00","FS_elasticpajama(2-3)_new","X0011OJVHZ","B07TLY2DTT","First Smile Baby Kids Soft Cotton Track Pants Pajama with Soft Elasticated Waistband for Kids Multicolor (Pack of 6) (2-3 Years)","New","0","gl_baby_product","2","2","0","0","1","1","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","599.00","599.00","599.00","0.00","0.00","0.00","0","0",,"0.00","2302.539065","N","0","0","0","1","40.78"
"2021-02-13T18:30:00+00:00","FS_elasticpajama(3-4)_new","X0011OJUL7","B07TMY2FX9","First Smile Baby Kids Soft Cotton Track Pants Pajama with Soft Elasticated Waistband for Kids Multicolor (Pack of 6) (3-4 Years)","New","0","gl_baby_product","3","3","0","0","1","2","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","599.00","599.00","599.00","0.00","0.00","0.00","0","0",,"0.00","2588.045675","N","0","0","0","2","91.67"
"2021-02-13T18:30:00+00:00","pajama_2-2.5 Years","X0011NQQND","B07TYLSPM8","First Smile Baby Kids Soft Cotton Track Pants Pajama with Ribs Multicolor (Unisex Pack of 6) (2-2.5 Years)","New","0","gl_baby_product","2","2","0","0","0","2","0","0","0","0","0","0","0","0","Infinite","Infinite","Infinite","Infinite","Infinite","1","0","INR","570.00","570.00","570.00","0.00","0.00","0.00","0","0",,"0.00","1911.428215","N","0","0","0","1","33.85"
