"month","fnsku","sku","product-name","average-quantity","end-quantity","fulfillment-center-id","detailed-disposition","country"
"12/2020","X0016KBD2Z","LH-RHL0-MBQR","Syska FT3108 Female Precision and Bikini Battery Operated Trimmer (White Pink)","1.19","1","QWTT","SELLABLE","IN"
"12/2020","X0016K7MMZ","A0-WCVE-KYII","SYSKA FS1088 Silk touch Female Shaver (White Red)","6.45","6","SIDA","SELLABLE","IN"
"12/2020","X0016K7MMZ","A0-WCVE-KYII","SYSKA FS1088 Silk touch Female Shaver (White Red)","2.65","2","QWTT","SELLABLE","IN"
"12/2020","X0016IREY3","ON-A1YI-A51I","Wahl Color Pro Complete Hair Cutting Kit (20 Pieces)","0.48","0","QWTT","SELLABLE","IN"
"12/2020","X0016IMY9X","PV-1FDO-SMEH","Wahl Pet Rechargeable Trimmer","3.03","0","BOM7","SELLABLE","IN"
"12/2020","X0016HE0J1","M6-ORZX-WPS1","Wahl 79803-024 Performer Cordless Clipper (Black)","0.58","0","BOM1","CUSTOMER_DAMAGED","IN"
"12/2020","X0016HC11Z","S4-6MCY-8GU3","Syska HT4000K AquaTrim Cord & Cordless Rechargeable Beard Trimmer for Men – Multi-Purpose Trimmer with 60 Minutes Runtime and 9 Length Setting","1.35","0","QWTT","SELLABLE","IN"
"12/2020","X0016HBZF3","UN-FOME-H8M7","CloudNine Kn95 Anti Pollution Mask - Re - usable, Non-woven with Melt Blown Layer","9.0","9","QWTT","SELLABLE","IN"
"12/2020","X0016H7Y85","FD-76V8-6Y7S","Wahl KM2 Professional Corded Clipper","1.0","1","QWTT","SELLABLE","IN"
"12/2020","X0016H7Y85","FD-76V8-6Y7S","Wahl KM2 Professional Corded Clipper","7.0","7","BOM7","SELLABLE","IN"
"12/2020","X0016H02QV","LO-FWJH-JKMY","SYSKA HT3333K Corded & Cordless Stainless Steel Blade Grooming Trimmer with 60 Minutes Working Time; 10 Length Settings (Black)","0.06","0","SPNA","SELLABLE","IN"
"12/2020","X0016H02QV","LO-FWJH-JKMY","SYSKA HT3333K Corded & Cordless Stainless Steel Blade Grooming Trimmer with 60 Minutes Working Time; 10 Length Settings (Black)","0.52","0","SPNA","CUSTOMER_DAMAGED","IN"
"12/2020","X0016H02QV","LO-FWJH-JKMY","SYSKA HT3333K Corded & Cordless Stainless Steel Blade Grooming Trimmer with 60 Minutes Working Time; 10 Length Settings (Black)","66.39","60","SIDA","SELLABLE","IN"
"12/2020","X0016H02QV","LO-FWJH-JKMY","SYSKA HT3333K Corded & Cordless Stainless Steel Blade Grooming Trimmer with 60 Minutes Working Time; 10 Length Settings (Black)","1.1","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X0016GWBY3","ML-2UEP-WIBZ","SYSKA HB100 Ultraclip Hair Clipper and Trimmer support Super Fast Charging, Runtime-90Mins, 20 Length Settings with 4 Stubble Guided Comb (Black)","907.1","907","SPNA","SELLABLE","IN"
"12/2020","X0016GWBY3","ML-2UEP-WIBZ","SYSKA HB100 Ultraclip Hair Clipper and Trimmer support Super Fast Charging, Runtime-90Mins, 20 Length Settings with 4 Stubble Guided Comb (Black)","138.0","138","SIDA","SELLABLE","IN"
"12/2020","X0016GWBY3","ML-2UEP-WIBZ","SYSKA HB100 Ultraclip Hair Clipper and Trimmer support Super Fast Charging, Runtime-90Mins, 20 Length Settings with 4 Stubble Guided Comb (Black)","15.61","14","QWTT","SELLABLE","IN"
"12/2020","X0016GJ691","CNThermo","CloudNine Medical Infrared Thermometer","19.94","18","QWTT","SELLABLE","IN"
"12/2020","X0016FN3WD","64-LUSC-8RRC","Wahl 79465-224 Extreme Grip (Black)","172.29","152","BOM1","SELLABLE","IN"
